dyadic model, J=34 shells (k_max = 2^33), nu=0.0001, CFL 0.050; reliability rule delta > 4/k_max = 4.7e-10
   t        E/E0 - 1        Z = sum k^2 a^2     front shell   delta(t)     div F (Liouville check)
 0.01667   -5.47e-06       2.1053e+00          1        nan     -9.838e+15
 0.06136   -2.17e-05       2.4536e+00          1        1.137e+00     -9.838e+15
 0.10109   -3.86e-05       2.8764e+00          1        8.698e-01     -9.838e+15
 0.16152   -7.06e-05       3.8271e+00          1        6.110e-01     -9.838e+15
 0.20737   -1.02e-04       4.9222e+00          1        4.702e-01     -9.838e+15
 0.25053   -1.41e-04       6.4481e+00          2        3.643e-01     -9.838e+15
 0.30398   -2.08e-04       9.5483e+00          2        2.573e-01     -9.838e+15
 0.35069   -2.96e-04       1.4461e+01          3        1.814e-01     -9.838e+15
 0.40454   -4.65e-04       2.6595e+01          3        1.104e-01     -9.838e+15
 0.45311   -7.68e-04       5.6804e+01          4        6.072e-02     -9.838e+15
 0.50067   -1.54e-03       1.8253e+02          5        2.464e-02     -9.838e+15
 0.55022   -7.92e-03       3.0877e+03          9        3.446e-03     -9.838e+15
 0.60021   -8.24e-02       1.0558e+04         10        1.579e-03     -9.838e+15
 0.65012   -1.64e-01       9.7226e+03         10        1.611e-03     -9.838e+15
 0.70002   -2.37e-01       8.6948e+03         10        1.660e-03     -9.838e+15
 0.75003   -3.03e-01       7.7023e+03         10        1.715e-03     -9.838e+15
 0.80019   -3.61e-01       6.8139e+03         10        1.773e-03     -9.838e+15
 0.85008   -4.12e-01       6.0404e+03         10        1.832e-03     -9.838e+15
 0.90017   -4.58e-01       5.3663e+03         10        1.891e-03     -9.838e+15
 0.95028   -4.98e-01       4.7825e+03         10        1.951e-03     -9.838e+15
 1.00019   -5.35e-01       4.2790e+03         10        2.011e-03     -9.838e+15
 1.05006   -5.67e-01       3.8424e+03         10        2.071e-03     -9.838e+15
 1.10009   -5.96e-01       3.4611e+03         10        2.131e-03     -9.838e+15
 1.15008   -6.22e-01       3.1284e+03         10        2.191e-03     -9.838e+15
 1.20028   -6.46e-01       2.8355e+03         10        2.251e-03     -9.838e+15
 1.25051   -6.68e-01       2.5778e+03         10        2.312e-03     -9.838e+15
 1.30053   -6.88e-01       2.3512e+03         10        2.371e-03     -9.838e+15
 1.35058   -7.06e-01       2.1503e+03          9        2.431e-03     -9.838e+15
 1.40010   -7.22e-01       1.9734e+03          9        2.489e-03     -9.838e+15
 1.45001   -7.37e-01       1.8142e+03          9        2.548e-03     -9.838e+15
 1.50024   -7.51e-01       1.6709e+03          9        2.606e-03     -9.838e+15
 1.55006   -7.64e-01       1.5433e+03          9        2.664e-03     -9.838e+15
 1.60006   -7.76e-01       1.4280e+03          9        2.722e-03     -9.838e+15
 1.65018   -7.87e-01       1.3237e+03          9        2.608e-03     -9.838e+15
 1.70036   -7.97e-01       1.2293e+03          9        2.662e-03     -9.838e+15
 1.75054   -8.07e-01       1.1436e+03          9        2.716e-03     -9.838e+15
 1.80065   -8.16e-01       1.0659e+03          9        2.769e-03     -9.838e+15
 1.85062   -8.24e-01       9.9521e+02          9        2.822e-03     -9.838e+15
 1.90037   -8.31e-01       9.3095e+02          9        2.874e-03     -9.838e+15
 1.95071   -8.39e-01       8.7145e+02          9        2.927e-03     -9.838e+15
 2.00072   -8.45e-01       8.1726e+02          9        2.979e-03     -9.838e+15
 2.05033   -8.52e-01       7.6788e+02          9        3.030e-03     -9.838e+15
 2.10040   -8.58e-01       7.2200e+02          9        3.081e-03     -9.838e+15
 2.15091   -8.63e-01       6.7935e+02          9        3.133e-03     -9.838e+15
 2.20085   -8.69e-01       6.4043e+02          9        3.184e-03     -9.838e+15
 2.25011   -8.74e-01       6.0490e+02          9        3.234e-03     -9.838e+15
 2.30073   -8.78e-01       5.7109e+02          9        3.285e-03     -9.838e+15
 2.35057   -8.83e-01       5.4021e+02          9        3.335e-03     -9.838e+15
 2.40066   -8.87e-01       5.1139e+02          9        3.385e-03     -9.838e+15
 2.45096   -8.91e-01       4.8448e+02          9        3.435e-03     -9.838e+15
 2.50026   -8.95e-01       4.5990e+02          9        3.484e-03     -9.838e+15
 2.55088   -8.98e-01       4.3637e+02          9        3.534e-03     -9.838e+15
 2.60038   -9.02e-01       4.1489e+02          9        3.582e-03     -9.838e+15
 2.65119   -9.05e-01       3.9429e+02          9        3.632e-03     -9.838e+15
 2.70073   -9.08e-01       3.7549e+02          9        3.681e-03     -9.838e+15
 2.75022   -9.11e-01       3.5788e+02          9        3.729e-03     -9.838e+15
 2.80101   -9.14e-01       3.4094e+02          9        3.778e-03     -9.838e+15
 2.85030   -9.16e-01       3.2551e+02          9        3.826e-03     -9.838e+15
 2.90087   -9.19e-01       3.1064e+02          9        3.875e-03     -9.838e+15
 2.95126   -9.21e-01       2.9670e+02          9        3.924e-03     -9.838e+15
 3.00144   -9.24e-01       2.8364e+02          9        3.972e-03     -9.838e+15
 3.05134   -9.26e-01       2.7140e+02          9        4.020e-03     -9.838e+15
 3.10090   -9.28e-01       2.5993e+02          9        4.067e-03     -9.838e+15
 3.15006   -9.30e-01       2.4918e+02          9        4.114e-03     -9.838e+15
 3.20046   -9.32e-01       2.3877e+02          9        4.163e-03     -9.838e+15
 3.25041   -9.34e-01       2.2902e+02          9        4.210e-03     -9.838e+15
 3.30162   -9.36e-01       2.1956e+02          9        4.259e-03     -9.838e+15
 3.35049   -9.37e-01       2.1101e+02          9        4.306e-03     -9.838e+15
 3.40056   -9.39e-01       2.0271e+02          9        4.353e-03     -9.838e+15
 3.45190   -9.41e-01       1.9465e+02          9        4.402e-03     -9.838e+15
 3.50060   -9.42e-01       1.8739e+02          9        4.448e-03     -9.838e+15
 3.55048   -9.44e-01       1.8032e+02          9        4.495e-03     -9.838e+15
 3.60160   -9.45e-01       1.7344e+02          9        4.544e-03     -9.838e+15
 3.65189   -9.46e-01       1.6701e+02          9        4.591e-03     -9.838e+15
 3.70126   -9.48e-01       1.6100e+02          9        4.638e-03     -9.838e+15
 3.75182   -9.49e-01       1.5515e+02          9        4.686e-03     -9.838e+15
 3.80136   -9.50e-01       1.4968e+02          9        4.733e-03     -9.838e+15
 3.85209   -9.51e-01       1.4435e+02          9        4.781e-03     -9.838e+15
 3.90168   -9.53e-01       1.3937e+02          9        4.828e-03     -9.838e+15
 3.95240   -9.54e-01       1.3452e+02          8        4.876e-03     -9.838e+15
 4.00141   -9.55e-01       1.3004e+02          8        4.921e-03     -9.838e+15
 4.05107   -9.56e-01       1.2571e+02          8        4.967e-03     -9.838e+15
 4.10137   -9.57e-01       1.2151e+02          8        5.014e-03     -9.838e+15
 4.15235   -9.58e-01       1.1744e+02          8        5.061e-03     -9.838e+15
 4.20140   -9.59e-01       1.1370e+02          8        5.107e-03     -9.838e+15
 4.25108   -9.60e-01       1.1007e+02          8        5.153e-03     -9.838e+15
 4.30140   -9.60e-01       1.0654e+02          8        5.199e-03     -9.838e+15
 4.35236   -9.61e-01       1.0313e+02          8        5.246e-03     -9.838e+15
 4.40125   -9.62e-01       9.9988e+01          8        5.291e-03     -9.838e+15
 4.45075   -9.63e-01       9.6937e+01          8        5.336e-03     -9.838e+15
 4.50086   -9.64e-01       9.3973e+01          8        5.382e-03     -9.838e+15
 4.55159   -9.64e-01       9.1093e+01          8        5.429e-03     -9.838e+15
 4.60010   -9.65e-01       8.8449e+01          8        5.473e-03     -9.838e+15
 4.65208   -9.66e-01       8.5728e+01          8        5.520e-03     -9.838e+15
 4.70179   -9.66e-01       8.3229e+01          8        5.565e-03     -9.838e+15
 4.75210   -9.67e-01       8.0798e+01          8        5.611e-03     -9.838e+15
 4.80001   -9.68e-01       7.8570e+01          8        5.272e-03     -9.838e+15
 4.85153   -9.68e-01       7.6264e+01          8        5.316e-03     -9.838e+15
 4.90059   -9.69e-01       7.4152e+01          8        5.357e-03     -9.838e+15
 4.95023   -9.70e-01       7.2093e+01          8        5.399e-03     -9.838e+15
 5.00045   -9.70e-01       7.0086e+01          8        5.441e-03     -9.838e+15
 5.05128   -9.71e-01       6.8131e+01          8        5.484e-03     -9.838e+15
 5.10271   -9.71e-01       6.6226e+01          8        5.527e-03     -9.838e+15
 5.15148   -9.72e-01       6.4483e+01          8        5.568e-03     -9.838e+15
 5.20082   -9.72e-01       6.2783e+01          8        5.609e-03     -9.838e+15
 5.25072   -9.73e-01       6.1123e+01          8        5.650e-03     -9.838e+15
 5.30119   -9.73e-01       5.9503e+01          8        5.692e-03     -9.838e+15
 5.35226   -9.74e-01       5.7922e+01          8        5.734e-03     -9.838e+15
 5.40045   -9.74e-01       5.6480e+01          8        5.774e-03     -9.838e+15
 5.45269   -9.75e-01       5.4971e+01          8        5.817e-03     -9.838e+15
 5.50200   -9.75e-01       5.3596e+01          8        5.857e-03     -9.838e+15
 5.55186   -9.75e-01       5.2251e+01          8        5.898e-03     -9.838e+15
 5.60228   -9.76e-01       5.0936e+01          8        5.940e-03     -9.838e+15
 5.65328   -9.76e-01       4.9651e+01          8        5.981e-03     -9.838e+15
 5.70116   -9.77e-01       4.8484e+01          8        6.020e-03     -9.838e+15
 5.75330   -9.77e-01       4.7253e+01          8        6.063e-03     -9.838e+15
 5.80225   -9.77e-01       4.6136e+01          8        6.102e-03     -9.838e+15
 5.85174   -9.78e-01       4.5041e+01          8        6.142e-03     -9.838e+15
 5.90178   -9.78e-01       4.3970e+01          8        6.183e-03     -9.838e+15
 5.95236   -9.78e-01       4.2921e+01          8        6.224e-03     -9.838e+15
 6.00351   -9.79e-01       4.1893e+01          8        6.265e-03     -9.838e+15
 6.05124   -9.79e-01       4.0964e+01          8        6.303e-03     -9.838e+15
 6.10351   -9.79e-01       3.9978e+01          8        6.345e-03     -9.838e+15
 6.15228   -9.80e-01       3.9086e+01          8        6.384e-03     -9.838e+15
 6.20158   -9.80e-01       3.8211e+01          8        6.424e-03     -9.838e+15
 6.25140   -9.80e-01       3.7353e+01          8        6.463e-03     -9.838e+15
 6.30177   -9.81e-01       3.6511e+01          8        6.503e-03     -9.838e+15
 6.35268   -9.81e-01       3.5686e+01          8        6.544e-03     -9.838e+15
 6.40415   -9.81e-01       3.4876e+01          8        6.585e-03     -9.838e+15
 6.45183   -9.82e-01       3.4148e+01          8        6.623e-03     -9.838e+15
 6.50001   -9.82e-01       3.3433e+01          8        6.661e-03     -9.838e+15
 6.55312   -9.82e-01       3.2668e+01          8        6.703e-03     -9.838e+15
 6.60235   -9.82e-01       3.1979e+01          8        6.742e-03     -9.838e+15
 6.65208   -9.83e-01       3.1302e+01          8        6.781e-03     -9.838e+15
 6.70235   -9.83e-01       3.0638e+01          8        6.820e-03     -9.838e+15
