dyadic model, J=34 shells (k_max = 2^33), nu=1e-06, CFL 0.050; reliability rule delta > 4/k_max = 4.7e-10
   t        E/E0 - 1        Z = sum k^2 a^2     front shell   delta(t)     div F (Liouville check)
 0.01667   -5.18e-08       2.1053e+00          1        nan     -9.838e+13
 0.06136   -2.06e-07       2.4537e+00          1        1.136e+00     -9.838e+13
 0.10109   -3.69e-07       2.8765e+00          1        8.697e-01     -9.838e+13
 0.16152   -6.83e-07       3.8276e+00          1        6.109e-01     -9.838e+13
 0.20736   -9.98e-07       4.9234e+00          1        4.700e-01     -9.838e+13
 0.25052   -1.38e-06       6.4504e+00          2        3.641e-01     -9.838e+13
 0.30396   -2.05e-06       9.5543e+00          2        2.570e-01     -9.838e+13
 0.35065   -2.93e-06       1.4476e+01          3        1.810e-01     -9.838e+13
 0.40448   -4.62e-06       2.6653e+01          3        1.100e-01     -9.838e+13
 0.45297   -7.65e-06       5.7090e+01          4        6.012e-02     -9.838e+13
 0.50038   -1.55e-05       1.8593e+02          6        2.382e-02     -9.838e+13
 0.55011   -1.02e-04       6.2898e+03          9        1.571e-03     -9.838e+13
 0.60002   -6.62e-02       1.0570e+06         15        4.985e-05     -9.838e+13
 0.65000   -1.48e-01       9.8252e+05         15        5.083e-05     -9.838e+13
 0.70000   -2.23e-01       8.8017e+05         15        5.237e-05     -9.838e+13
 0.75002   -2.89e-01       7.8086e+05         15        5.409e-05     -9.838e+13
 0.80001   -3.48e-01       6.9152e+05         15        5.589e-05     -9.838e+13
 0.85001   -4.00e-01       6.1314e+05         15        5.774e-05     -9.838e+13
 0.90003   -4.46e-01       5.4506e+05         15        5.961e-05     -9.838e+13
 0.95003   -4.88e-01       4.8611e+05         15        6.149e-05     -9.838e+13
 1.00001   -5.24e-01       4.3505e+05         15        6.338e-05     -9.838e+13
 1.05001   -5.57e-01       3.9070e+05         15        6.526e-05     -9.838e+13
 1.10003   -5.87e-01       3.5206e+05         15        6.715e-05     -9.838e+13
 1.15004   -6.14e-01       3.1829e+05         15        6.903e-05     -9.838e+13
 1.20000   -6.38e-01       2.8871e+05         15        7.091e-05     -9.838e+13
 1.25004   -6.60e-01       2.6263e+05         15        7.279e-05     -9.838e+13
