N=48^3, nu=0, all flows at Z0=0.375; high-vorticity set |w| > 0.5 max
flow                             t    Z(t)/Z0      share      back      corr
taylor-green                  0.00      1.000      0.387    -8.859    -0.299
taylor-green                  0.25      1.007      0.409    -7.720    -0.115
taylor-green                  0.50      1.027      0.486    -5.493    -0.382
taylor-green                  0.75      1.061      0.580    -3.163    -0.615
taylor-green                  1.00      1.112      0.672    -1.993    -0.604
kida-pelz                     0.00      1.000      0.335   -18.564    +0.023
kida-pelz                     0.25      1.006      0.343   -13.991    -0.073
kida-pelz                     0.50      1.025      0.381    -8.088    -0.281
kida-pelz                     0.75      1.057      0.483    -3.511    -0.435
kida-pelz                     1.00      1.104      0.567    -1.932    -0.248
abc                           0.00      1.000      0.725    +0.119    -0.404
abc                           0.25      1.000      0.725    +0.119    -0.404
abc                           0.50      1.000      0.725    +0.118    -0.404
abc                           0.75      1.000      0.725    +0.118    -0.404
abc                           1.00      1.000      0.725    +0.119    -0.404
found:leashed64_dmin030       0.00      1.000      0.521    -0.502    -0.234
found:leashed64_dmin030       0.25      1.200      0.472    -0.680    -0.435
found:leashed64_dmin030       0.50      1.632      0.471    -1.911    -0.018
found:leashed64_dmin030       0.75      2.266      0.488    -4.923    +0.301
found:leashed64_dmin030       1.00      3.040      0.503    -6.038    +0.361
