N=64^3, nu=0, all flows at Z0=0.375; high-vorticity set |w| > 0.5 max
flow                             t    Z(t)/Z0      share      back      corr   beta(h=2)   anti frac
taylor-green                  0.00      1.000      0.405    -8.902    -0.292       0.004       0.000
taylor-green                  0.25      1.007      0.413    -7.716    -0.126       0.005       0.000
taylor-green                  0.50      1.027      0.468    -5.413    -0.384       0.006       0.000
taylor-green                  0.75      1.061      0.583    -3.196    -0.609       0.009       0.000
taylor-green                  1.00      1.112      0.667    -2.021    -0.621       0.012       0.000
kida-pelz                     0.00      1.000      0.351   -17.222    +0.033       0.009       0.000
kida-pelz                     0.25      1.006      0.352   -13.678    -0.092       0.010       0.000
kida-pelz                     0.50      1.025      0.381    -8.439    -0.265       0.014       0.000
kida-pelz                     0.75      1.057      0.481    -3.400    -0.463       0.024       0.000
kida-pelz                     1.00      1.104      0.569    -1.917    -0.265       0.039       0.000
abc                           0.00      1.000      0.725    +0.121    -0.404       0.005       0.000
abc                           0.25      1.000      0.725    +0.121    -0.404       0.005       0.000
abc                           0.50      1.000      0.725    +0.121    -0.404       0.005       0.000
abc                           0.75      1.000      0.725    +0.121    -0.404       0.005       0.000
abc                           1.00      1.000      0.725    +0.121    -0.404       0.005       0.000
found:leashed64_dmin030       0.00      1.000      0.521    -0.500    -0.235       0.052       0.000
found:leashed64_dmin030       0.25      1.200      0.475    -0.676    -0.430       0.071       0.022
found:leashed64_dmin030       0.50      1.633      0.455    -2.405    -0.015       0.148       0.184
found:leashed64_dmin030       0.75      2.283      0.485    -5.672    +0.346       0.334       0.566
found:leashed64_dmin030       1.00      3.118      0.517    -5.524    +0.413       0.542       0.906
