IC=tg  N=48^3  nu=0  Z0=0.375   2dx = 0.2618
Burgers (unprojected) exact shock time from the initial gradient: t* = -1/lambda_min(grad u0) = 1.0000
   t      Euler: E/E0     delta     rate      max|grad u|   |   Burgers: E/E0     delta     rate      max|grad u|   exact A0(I+A0 t)^-1
 0.00   1.00000000   0.0491*     nan     1.000   |   1.00000000   0.0491*     nan     1.000     1.000
 0.10   1.00000000   2.7574   -40.29     1.027   |   1.00000000   2.0426   -37.29     1.111     1.111
 0.20   1.00000000   2.1036     2.71     1.056   |   1.00000000   1.4732     3.27     1.250     1.250
 0.30   1.00000000   1.7467     1.86     1.090   |   1.00000000   1.1108     2.82     1.429     1.429
 0.40   1.00000000   1.4946     1.56     1.126   |   1.00000000   0.8418     2.77     1.667     1.667
 0.50   1.00000000   1.2977     1.41     1.165   |   0.99999999   0.6357     2.81     1.999     2.000
 0.60   1.00000000   1.1364     1.33     1.208   |   0.99999999   0.4739     2.94     2.490     2.500
 0.70   1.00000000   1.0014     1.26     1.253   |   0.99999998   0.3448     3.18     3.246     3.333
 0.80   1.00000000   0.8871     1.21     1.300   |   0.99999997   0.2408*    3.59     4.410     5.000
        Burgers strip below 2dx at t = 0.80; exact shock time 1.0000 (the clock stops 80% of the way there)
 0.90   1.00000000   0.7892     1.17     1.350   |   stopped at the grid limit (shock)
